74.5	C	M1	30	31	500000
153.1	C	M2	30	31	500000
210.8	C	M3	31	30	500000
245.5	C	M4	30	31	500000
307.0	C	M5	30	31	500000
464.1	C	M6	31	30	500000
521.5	C	M7	31	30	500000
684.4	C	M8	31	30	500000
796.2	C	M9	30	31	500000
910.0	C	M10	30	31	500000
1040.4	C	M11	30	31	500000
1213.0	C	M12	30	31	500000
1449.2	C	M13	30	31	500000
1494.2	C	M14	30	31	500000
1592.7	C	M15	30	31	500000
1714.3	C	M16	31	30	500000
1859.2	C	M17	30	31	500000
1988.5	C	M18	30	31	500000
2045.8	C	M19	30	31	500000
2091.0	C	M20	30	31	500000
2166.4	C	M21	30	31	500000
2319.9	C	M22	30	31	500000
2473.6	C	M23	30	31	500000
2544.6	C	M24	30	31	500000
2620.9	C	M25	30	31	500000
2679.3	C	M26	31	30	500000
2723.4	C	M27	31	30	500000
2740.9	C	M28	31	30	500000
2771.1	C	M29	31	30	500000
2781.4	C	M30	30	31	500000
3105.8	C	M31	30	31	500000
3170.8	C	M32	31	30	500000
3329.5	C	M33	30	31	500000
3471.8	C	M34	30	31	500000
3473.6	C	M35	30	31	500000
3519.8	C	M36	31	30	500000
3534.9	C	M37	30	31	500000
3697.3	C	M38	31	30	500000
3888.0	C	M39	30	31	500000
3946.9	C	M40	31	30	500000
3996.9	C	M41	30	31	500000
4299.2	C	M42	31	30	500000
4319.1	C	M43	30	31	500000
4326.5	C	M44	31	30	500000
4444.3	C	M45	30	31	500000
4540.5	C	M46	30	31	500000
4590.8	C	M47	31	30	500000
4699.0	C	M48	30	31	500000
4833.0	C	M49	30	31	500000
4924.5	C	M50	31	30	500000
4967.9	C	M51	30	31	500000
4979.3	C	M52	31	30	500000
4989.2	C	M53	31	30	500000
5311.6	C	M54	31	30	500000
5323.0	C	M55	30	31	500000
5403.9	C	M56	31	30	500000
5496.1	C	M57	30	31	500000
5548.3	C	M58	30	31	500000
5665.5	C	M59	31	30	500000
5923.4	C	M60	30	31	500000
6065.6	C	M61	30	31	500000
6427.7	C	M62	31	30	500000
6441.8	C	M63	30	31	500000
6570.1	C	M64	30	31	500000
6634.6	C	M65	30	31	500000
6850.5	C	M66	31	30	500000
6886.1	C	M67	30	31	500000
7025.9	C	M68	30	31	500000
7070.8	C	M69	31	30	500000
7325.3	C	M70	31	30	500000
7444.4	C	M71	31	30	500000
7464.9	C	M72	31	30	500000
7498.8	C	M73	30	31	500000
7673.4	C	M74	31	30	500000
8038.7	C	M75	30	31	500000
8213.3	C	M76	30	31	500000
8315.6	C	M77	30	31	500000
8431.2	C	M78	30	31	500000
8455.0	C	M79	30	31	500000
8488.8	C	M80	30	31	500000
8628.1	C	M81	30	31	500000
8756.2	C	M82	30	31	500000
8771.7	C	M83	30	31	500000
8947.1	C	M84	31	30	500000
8994.8	C	M85	30	31	500000
9100.0	C	M86	30	31	500000
9115.0	C	M87	31	30	500000
9146.1	C	M88	30	31	500000
9229.8	C	M89	31	30	500000
9240.3	C	M90	31	30	500000
9329.4	C	M91	31	30	500000
9412.1	C	M92	31	30	500000
9509.0	C	M93	30	31	500000
9514.8	C	M94	30	31	500000
9543.9	C	M95	30	31	500000
9610.5	C	M96	30	31	500000
9685.6	C	M97	31	30	500000
9690.3	C	M98	31	30	500000
9725.3	C	M99	30	31	500000
9942.7	C	M100	31	30	500000
